Date,Time,Journey,Charge (GBP),Capped,Notes
17/01/2020,08:54 - 09:17,Canada Water to Victoria (London Underground),-2.90,N,
17/01/2020,19:06 - 19:42,Victoria (London Underground) to Canada Water,-2.40,N,
18/01/2020,18:28 - 18:50,Canada Water to Oval,-2.40,N,
20/01/2020,09:13 - 09:44,Canada Water to Victoria (London Underground),-2.90,N,
20/01/2020,19:20 - 19:42,Victoria (London Underground) to Canada Water,-2.40,N,
21/01/2020,08:53 - 09:19,Canada Water to Victoria (London Underground),-2.90,N,
21/01/2020,19:53 - 20:15,Victoria (London Underground) to Canada Water,-2.40,N,
22/01/2020,09:14 - 09:37,Canada Water to Victoria (London Underground),-2.90,N,
22/01/2020,19:46 - 20:09,Victoria (London Underground) to Canada Water,-2.40,N,
23/01/2020,08:37 - 09:03,Canada Water to Kings Cross St Pancras (Underground),-2.90,N,
23/01/2020,13:45 - 13:59,Kings Cross St Pancras (Underground) to Victoria (London Underground),-2.40,N,
23/01/2020,18:46 - 19:08,Victoria (London Underground) to Canada Water,-1.90,Y,
24/01/2020,09:00 - 09:21,Canada Water to Victoria (London Underground),-2.90,N,
24/01/2020,19:07 - 19:54,Victoria (London Underground) to Canada Water,-2.40,N,
24/01/2020,21:22 - 21:35,Canada Water to Shoreditch High Street,-1.90,Y,
25/01/2020,15:18 - 15:36,Canada Water to Green Park,-2.40,N,
25/01/2020,17:06 - 17:28,Oxford Circus to Canada Water,-2.40,N,
27/01/2020,08:31 - 09:06,Canada Water to Victoria (London Underground),-2.90,N,
27/01/2020,19:39 - 20:10,Victoria (London Underground) to Canada Water,-2.40,N,
28/01/2020,08:17 - 08:42,Canada Water to Victoria (London Underground),-2.90,N,
28/01/2020,19:21 - 19:42,Victoria (London Underground) to Canada Water,-2.40,N,
29/01/2020,08:24 - 08:58,Canada Water to Victoria (London Underground),-2.90,N,
29/01/2020,19:29 - 19:53,Victoria (London Underground) to Canada Water,-2.40,N,
30/01/2020,08:26 - 09:02,Canada Water to Victoria (London Underground),-2.90,N,
30/01/2020,18:24 - 18:49,Victoria (London Underground) to Canada Water,-2.90,N,
31/01/2020,10:17 - 10:39,Canada Water to Liverpool Street (London Underground),-2.40,N,
03/01/2020,01:20 - 02:48,Luton Airport Parkway to Canada Water,-12.30,N,
04/01/2020,06:18 - 06:43,Canada Water to Kings Cross St Pancras (Underground),-2.40,N,
05/01/2020,21:54 - 22:16,Kings Cross St Pancras (Underground) to Canada Water,-2.40,N,
06/01/2020,09:18 - 09:35,Canada Water to Victoria (London Underground),-2.90,N,
06/01/2020,18:20 - 18:42,Victoria (London Underground) to Canada Water,-2.90,N,
07/01/2020,09:12 - 09:36,Canada Water to Victoria (London Underground),-2.90,N,
07/01/2020,18:12 - 18:39,Victoria (London Underground) to Canada Water,-2.90,N,
09/01/2020,08:31 - 08:59,Canada Water to Victoria (London Underground),-2.90,N,
09/01/2020,18:16 - 18:43,Victoria (London Underground) to Canada Water,-2.90,N,
10/01/2020,08:46 - 09:08,Canada Water to Victoria (London Underground),-2.90,N,
10/01/2020,18:19 - 18:40,Victoria (London Underground) to Canada Water,-2.90,N,
01/12/2019,20:36 - 20:55,Waterloo (London Underground) to Canada Water,-2.40,N,
02/12/2019,08:53 - 09:19,Canada Water to Victoria (London Underground),-2.90,N,
02/12/2019,20:01 - 20:26,Victoria (London Underground) to Canada Water,-2.40,N,
03/12/2019,08:52 - 09:18,Canada Water to Victoria (London Underground),-2.90,N,
01/12/2019,14:59 - 15:57,Canada Water to Wandsworth Town,-4.00,N,
01/12/2019,20:12 - 20:35,Wandsworth Town to Waterloo (National Rail),-2.50,N,
03/12/2019,19:52 - 20:15,Victoria (London Underground) to Canada Water,-2.40,N,
04/12/2019,08:57 - 09:35,Canada Water to Victoria (London Underground),-2.90,N,
04/12/2019,20:41 - 21:19,Victoria (London Underground) to Canada Water,-2.40,N,
05/12/2019,08:59 - 09:28,Canada Water to Victoria (London Underground),-2.90,N,
05/12/2019,20:01 - 20:22,Victoria (London Underground) to Canada Water,-2.40,N,
06/12/2019,09:10 - 09:37,Canada Water to Victoria (London Underground),-2.90,N,
06/12/2019,19:19 - 19:42,Victoria (London Underground) to Canada Water,-2.40,N,
06/12/2019,22:48 - 23:01,Canada Water to Shoreditch High Street,-1.70,Y,
06/12/2019,02:10 - 02:31,Shoreditch High Street to Canada Water,0.00,Y,
07/12/2019,15:50 - 16:08,Canada Water to Green Park,-2.40,N,
07/12/2019,17:16 - 17:42,South Kensington to Canada Water,-2.40,N,
09/12/2019,08:36 - 09:01,Canada Water to Victoria (London Underground),-2.90,N,
09/12/2019,21:35 - 22:03,Victoria (London Underground) to Canada Water,-2.40,N,
10/12/2019,08:47 - 09:26,Canada Water to Victoria (London Underground),-2.90,N,
10/12/2019,22:00 - 22:19,Victoria (London Underground) to Canada Water,-2.40,N,
11/12/2019,09:10 - 09:32,Canada Water to Victoria (London Underground),-2.90,N,
11/12/2019,18:55 - 19:14,Victoria (London Underground) to Leicester Square,-2.40,N,
11/12/2019,20:13 - 20:42,Leicester Square to Canada Water,-1.70,Y,
12/12/2019,09:05 - 09:36,Canada Water to Victoria (London Underground),-2.90,N,
12/12/2019,18:14 - 18:38,Victoria (London Underground) to Canada Water,-2.90,N,
16/12/2019,23:48 - 00:51,Gatwick Airport to Blackfriars (National Rail),-8.30,N,
16/12/2019,01:01,"Bus Journey, Route N381",-1.50,N,
17/12/2019,09:26 - 09:50,Canada Water to Victoria (London Underground),-2.90,N,
17/12/2019,18:50 - 19:11,Victoria (London Underground) to Canada Water,-2.90,N,
18/12/2019,09:06 - 09:28,Canada Water to Victoria (London Underground),-2.90,N,
18/12/2019,19:29 - 19:56,Victoria (London Underground) to Canada Water,-2.40,N,
19/12/2019,06:52 - 07:00,Canada Water to London Bridge (London Underground),-2.90,N,
19/12/2019,07:04 - --:--,London Bridge (National Rail) to Unknown,-8.20,N,You may have been charged a maximum fare for this journey because we have no record of where you touched in/out.
24/12/2019,13:14 - 13:33,Canada Water to Victoria (London Underground),-2.40,N,
01/11/2019,09:25 - 09:44,Canada Water to Victoria (London Underground),-2.90,N,
01/11/2019,18:51 - 19:23,Victoria (London Underground) to Wood Green,-3.30,N,
01/11/2019,00:33 - 01:28,Wood Green to Canada Water,-2.00,Y,
03/11/2019,17:03 - 17:20,Canada Water to Green Park,-2.40,N,
03/11/2019,19:03 - 19:23,Green Park to Canada Water,-2.40,N,
04/11/2019,09:18 - 09:38,Canada Water to Victoria (London Underground),-2.90,N,
04/11/2019,20:00 - 20:20,Victoria (London Underground) to Canada Water,-2.40,N,
05/11/2019,09:24 - 09:42,Canada Water to Victoria (London Underground),-2.90,N,
05/11/2019,20:16 - 20:37,Victoria (London Underground) to Canada Water,-2.40,N,
06/11/2019,09:24 - 09:45,Canada Water to Victoria (London Underground),-2.90,N,
06/11/2019,20:19 - 20:42,Victoria (London Underground) to Canada Water,-2.40,N,
07/11/2019,09:23 - 09:44,Canada Water to Victoria (London Underground),-2.90,N,
07/11/2019,19:41 - 20:03,Victoria (London Underground) to Canada Water,-2.40,N,
08/11/2019,09:25 - 09:44,Canada Water to Victoria (London Underground),-2.90,N,
08/11/2019,20:25 - 20:49,Victoria (London Underground) to Canada Water,-2.40,N,
09/11/2019,13:18 - 13:52,Canada Water to Paddington (London Underground),-2.40,N,
09/11/2019,21:48 - 22:22,Paddington (London Underground) to North Greenwich,-2.40,N,
09/11/2019,22:29,"Bus Journey, Route 188",-1.50,N,
09/11/2019,00:49,"Bus Journey, Route 422",-0.70,Y,
09/11/2019,00:56 - 01:07,North Greenwich to Canada Water,0.00,Y,
11/11/2019,09:21 - 09:44,Canada Water to Victoria (London Underground),-2.90,N,
11/11/2019,20:01 - 20:24,Victoria (London Underground) to Canada Water,-2.40,N,
12/11/2019,09:07 - 09:46,Canada Water to Victoria (London Underground),-2.90,N,
12/11/2019,18:49 - 19:10,Victoria (London Underground) to Canada Water,-2.90,N,
13/11/2019,09:08 - 09:27,Canada Water to Victoria (London Underground),-2.90,N,
13/11/2019,18:22 - 18:48,Victoria (London Underground) to Highbury & Islington,-2.90,N,
13/11/2019,23:08 - 23:39,Highbury & Islington to Canada Water,-1.20,Y,
14/11/2019,09:03 - 09:25,Canada Water to Victoria (London Underground),-2.90,N,
14/11/2019,11:44 - 11:58,Victoria (London Underground) to Kings Cross St Pancras (Underground),-2.40,N,
17/11/2019,21:06 - 21:38,Kings Cross St Pancras (Underground) to Canada Water,-2.40,N,
18/11/2019,09:14 - 09:34,Canada Water to Victoria (London Underground),-2.90,N,
18/11/2019,19:24 - 19:58,Victoria (London Underground) to Canada Water,-2.40,N,
19/11/2019,09:02 - 09:25,Canada Water to Victoria (London Underground),-2.90,N,
19/11/2019,17:50 - 18:24,Victoria (London Underground) to Canada Water,-2.90,N,
20/11/2019,09:13 - 09:37,Canada Water to Victoria (London Underground),-2.90,N,
20/11/2019,19:31 - 19:51,Victoria (London Underground) to Canada Water,-2.40,N,
21/11/2019,09:15 - 09:40,Canada Water to Victoria (London Underground),-2.90,N,
21/11/2019,18:21 - 18:43,Victoria (London Underground) to Canada Water,-2.90,N,
22/11/2019,12:43 - 13:06,Canada Water to Victoria (London Underground),-2.40,N,
22/11/2019,18:54 - 19:20,Victoria (London Underground) to Canada Water,-2.90,N,
24/11/2019,14:17 - 14:37,Canada Water to Bond Street,-2.40,N,
24/11/2019,16:43 - 17:03,Bond Street to Canada Water,-2.40,N,
25/11/2019,08:46 - 09:07,Canada Water to Victoria (London Underground),-2.90,N,
25/11/2019,19:11 - 19:31,Victoria (London Underground) to Canada Water,-2.40,N,
